driverId,name,ssn,location,certified,wage-plan
10,Daniel Miller,785-72-0660,"3718 Alicia Glen
North Anthony, MN 33595",Y,hours
11,Christopher Mack,003-22-2884,"1934 Teresa Turnpike
Greenbury, IL 52107",Y,miles
12,Leslie King,093-87-5610,"518 Elizabeth Manors
Kathyville, MN 13244",Y,miles
13,Heather Dean,013-36-2606,"109 Smith Hills Suite 479
Graychester, SC 61522",Y,hours
14,Lauren Roberts,486-47-6790,"28645 Ruiz Locks
Nancyfurt, CA 95056",N,hours
15,Karen Ross,062-53-4403,"75306 Timothy Dam
Port Apriltown, WY 39511",Y,hours
16,Jennifer Garcia,229-75-1021,"38723 Tony Plain Suite 390
North Ryanberg, MD 14801",Y,hours
17,Nicholas Reyes,456-49-8251,"88921 Richard Fort Apt. 466
New Justinmouth, IA 96631",Y,hours
18,Alexis Lee,321-81-9503,"713 Perez Rapid
North Stefanie, WA 26605",Y,hours
19,Katrina Johnson,065-48-5245,"854 Robertson Walk Suite 607
Christopherside, OK 97578",Y,miles
20,Kristine Gill,494-05-8348,"0522 Benjamin Vista Apt. 278
West Sarastad, OK 71388",N,miles
21,Jodi Webb,536-89-4441,"USNV Bailey
FPO AA 68833",N,hours
22,Cathy Arnold,586-49-6903,"43519 Moody Shores
Port Tyler, MA 66410",Y,hours
23,Jessica Martinez,592-82-9495,"1073 Hensley Drive
West Jamesport, NC 25045",Y,miles
24,Jennifer Gonzalez MD,195-20-0474,"4100 Logan Knolls
Jacksonfort, VI 45138",Y,miles
25,Edward Curry,519-45-8421,"1493 Kaitlyn Plains Apt. 689
West Kennethport, OR 66186",N,hours
26,Robert Adams,331-29-4356,"7198 Victoria Station
New Samanthashire, DE 37815",Y,miles
27,Anna Lopez,683-65-3911,"8985 Kelly Port
North Kimberlyshire, IA 88700",Y,hours
28,Patricia Brown,817-51-9146,"1881 Gibbs Locks Apt. 477
East Rebeccachester, AZ 04512",Y,hours
29,Paul Johnson,505-74-2359,"3655 Jenkins Flats Apt. 993
South Jake, UT 88830",Y,miles
30,Kristin Price,777-98-5357,"217 Price Summit Suite 820
Aliciabury, MA 33158",N,hours
31,Jose Lang,456-04-3209,"597 Richards Grove
East Stephaniemouth, VA 18801",N,hours
32,Alex Morrison,150-92-2305,"PSC 0701, Box 9158
APO AE 05154",N,miles
33,Sara Vargas,437-92-5888,"1129 Paula Causeway
Port Shannon, TX 90665",N,hours
34,Peter Cuevas,535-14-7635,"742 Vargas Spurs
East Carriebury, CO 55647",Y,miles
35,Kimberly Cruz,472-52-5390,"266 Kendra Knolls
North Stephanieborough, NV 54020",Y,miles
36,Jenny Lopez,268-43-0569,"3280 Long Burgs Apt. 304
Marilynmouth, VA 80609",Y,hours
37,Shannon Osborne,599-12-6411,"225 Johnson Forks Apt. 444
Port Chadbury, UT 20028",N,miles
38,Tiffany Dougherty,069-26-3881,"117 Carlos Islands Apt. 157
Brayfurt, CT 66965",Y,hours
39,Lynn Padilla,112-03-1823,"82285 Rivas Springs Apt. 125
New Peter, VI 18469",N,miles
40,Tracie Massey,560-27-8208,"026 Lauren Ridge Apt. 168
Richardhaven, WA 64536",N,hours
